row,quality_of_class,difficulty_of_class,thumbs_up,thumbs_down,comment
3,5.0,3.0,0,0,"I took her POLI276H class and I will be taking as many of her classes as my schedule will allow. I love classes, but it does have a bit of reading. Amazing discussions, very respectful, and always able to talk. 10/10"
4,4.0,4.0,0,0,"If you don't have experience with political philosophy this class will not be easy. Dr. Bickford is a tough grader, but she gives a lot of feedback. She is a very kind and approachable person and is genuinely passionate about teaching."
5,1.0,3.0,0,0,"Embodies everything I used to hate about English classes in HS, encourages individual interpretation but says your interpretation is wrong. Only gives decent grades to those that think like her. Lowest paper grade at UNC was a 92 before this class, yet she said my writing quality concerned her that I had a learning disability."
6,5.0,4.0,0,0,"Professor Bickford clearly cares about the material quite a bit, and you can tell that it's important to her that she doesn't just tell you about it, but that you learn it. She also gives very informative feedback on the papers, all of which are very short besides the final. Highly recommend!"
7,5.0,4.0,0,0,"By far the best professor I've had at Carolina. She is engaging and really cares about her students. The readings are tough, and she's a hard grader but if you're willing to work for it this class is a must!"
8,5.0,4.0,0,0,"Professor Bickford is one of the most genuine Professors at UNC. She truly cares about her students and strives to treat everyone with respect. I'm not going to lie- she's a tough grader, but she gives awesome feedback and will most definitely help you to become a better writer. This class reading and writing heavy."
9,1.0,3.0,0,0,"The content itself is interesting and so is class discussion, but the grading process is convoluted. It is extremely different to improve grades on writing assignments because the process it nit-picky and no rubric is given. Little feedback given and she doesn't specify where you lose points. Take a different political thought class for poli major."
10,5.0,4.0,0,0,"Dr. Bickford is one of the most brilliant and kindest people you'll meet. She's not just a good professor, but a phenomenal teacher as well. I appreciate her dedication to class. Her courses are well-organized and cover a good variety of topics. The type of writing she expects is likely different from what you're used to. A's are uncommon."
11,4.0,4.0,1,0,"Dr. Bickford is a great professor in that she's incredibly knowledgeable and cares about the subject and her students. In this class, you have to read a lot for each period and write papers often. She's definitely a tough paper grader and you do have to talk a lot consistently to get a decent participation grade. Not an easy A, but rewarding."
12,5.0,4.0,1,0,"Professor Bickford is a wonderful teacher and facilitator in class. Get ready to read--a lot! Some familiarity with reading philosophy papers will help you a lot in this class. She really cares about you as both a student and a human being, and is so helpful in and out of class! Highly recommend taking this class, even though an A is unlikely."
13,5.0,4.0,0,0,"Professor Bickford is incredible!!! Definitely one of the tougher graders at UNC, but I have learned so much from her class! Readings are a lot and often v dense, but if you genuinely want to learn and improve as a student, you should take a course form her! Also so willing to help students if they need it!"
14,5.0,4.0,0,0,"Professor Bickford is amazing! A tough grader, but genuinely wants to help improve your writing and critical thinking. I have improved as a writer from taking this course. Lots of reading, very discussion based and small group work. Lots of writing but all of the material is incredibly interesting and she does an amazing job leading discussions!"
15,5.0,4.0,0,0,"The material is super interesting and Professor Bickford clearly cares about it. Classes are structured around participation, which makes it all extremely engaging and enjoyable. Professor Bickford is helpful and very supportive."
16,2.0,5.0,1,0,"She is a harsh grader- does not like giving out anything higher than a B-. It should be a good discussion based class, but she makes it so difficult that no one ends up learning because they're so worried about their grades."
17,4.0,4.0,1,0,"She is an AWESOME professor. However, she runs the class almost like a graduate seminar- there is an incredible amount of reading, and you have to print out everything. For our class, this was about 400 pages per person. RIP to my CCI Printing money. She is a tough grader, almost unneccessarily so, but she cares about how you do in the class."
18,5.0,4.0,1,0,"Excellent class. It's not an easy course for anyone just to slack and get a good grade, but if you work for it, it's surely worth it. Professor is super helpful, friendly, and inspiring. Class discussion is always in a great atmosphere. professor smiles when you talk to her, and she gets so excited when someone come up with good thoughts!"
19,5.0,4.0,1,1,"Professor Bickford is a great professor. The first year seminar I took with her is one of my favorite courses I have ever taken at UNC. If you're taking it because you expect an easy A, you probably won't get it. But the class discussions are incredibly interesting, and you will improve your writing and analytical thinking skills."
20,5.0,3.0,2,2,"Great prof!  Really let's everybody tell what they think about the questions at hand.  Also, she's very serious about participation so don't think that you can join her class and not talk or do the readings, which can get dull at times.  However, the great discussions make it all worth it."
1,5.0,4.0,0,0,"Dr Boettiger is far and away my favorite prof at UNC and NSCI420 is my favorite class. She's been fantastic at online classes and is super flexible, always asking for feedback. Her lectures are fantastic in my opinion, and though the class is pretty difficult, she's always open to help you and is so incredibly caring. Cannot recommend her enough!"
2,5.0,5.0,2,0,"Dr. Boettiger is awesome and one of the best professors I've had at UNC. Her passion for neuroanatomy is inspiring and she articulates her grading policies very clearly, hardly ever deviating from the syllabus with regards to weekly quizzes and exams. Functional Neuroanatomy is a very tough course, however, and must be prioritized to succeed."
3,5.0,4.0,3,0,Professor Boettiger is one of the best professors I've had so far at UNC. Neuroanatomy is a hard subject with an insane amount of material to cover but she teaches it really well. Every lecture is fascinating. Her tests and assignments are hard but she's very compassionate about grading and is always willing to adjust if the entire class does badly
4,3.5,5.0,0,0,"She's really nice and funny, but the class was difficult. I have a passion for neuroscience, but I could only pull a B in this class because it was so hard. There's a lot of content so beware of that. Even though it's listed as a psych class, it has the amount of work and rigor as a science class (and it doesn't count for the neuroscience minor!)."
5,4.0,3.0,0,0,"I loved this class. Boettiger is super into what she teaches and she makes it fun. Don't get me wrong, it's still biopsychology which is hard and sometimes a bit dry but she does a good job of allowing students to show what they've learned and get credit for it in tests and extra credit opportunities. She's super cool and experienced."
6,4.5,4.0,0,0,"This class is pretty difficult due to the course material, but she is one of the best at explaining and answering questions. The class doesn't technically require attendance but there is an in class quiz every week that you have to be there for."
1,5.0,2.0,2,0,"Easily the best. Profoundly clear, funny, and authoritative but not intimidating or pretentious. Lecture is paced and styled in a way that you'll remember things for years to come."
1,5.0,2.0,0,0,"Professor Buzinski is hands down one of the best professors at UNC! His lectures are really engaging and he does a good job of making content understandable. He is a very fair grader, offers extra credit opportunities, and has non-cumulative exams that you can do well on if you take notes and pay attention in class."
2,5.0,2.0,0,0,"Dr.B is clearly passionate about what he teaches and teaching in general! His lectures were long but interesting. His grading criteria was very clear, and the assignments were all very easy. On exams we were allowed to bring in an index card of notes, but if you looked over your notes you didn't need it."
3,5.0,2.0,0,0,"Dr. B is an amazing professor. If you ever get the chance to take one of his classes, I recommend you do it, even if you have to move around other classes. No cumulative final, bring a handwritten index card to each test, funny clip from the office at the start of the class. The work is a bit time consuming but easy and content is interesting."
4,5.0,2.0,0,0,This was one of the best psychology classes that I've taken at UNC. It wasn't a lot of work compared to some others. There was one quiz per week based on readings and one assignment per week for our project which were always easy. A lot of your grade is made up of exams but they weren't hard if you studied at all. He also offers extra credit. 
5,5.0,2.0,0,0,Buzinski teaches a great class that he makes fun and interesting. Projects and participation are both easy if you put in any effort at all. He really wants you to succeed so don't be afraid to ask questions.
6,5.0,2.0,0,0,I loved Dr. Buzinski and the Gil Internship! He's so kind and personable and genuinely wants you to succeed.
7,5.0,3.0,0,0,"Professor Buzinski is amazing. Class is super fun, assignments are fair. He gives you the tools to prepare and do great and it isn't hard to do that, you just have to be willing to put in a little bit of work. I'll specifically looking to take more of his classes. I absolutely recommend Dr. B."
8,5.0,2.0,0,0,"Fave class at UNC so far, both bc of Dr. B and because the material is so fascinating! This was by far one of the best structured courses I've ever taken. There is a good amount of work but it is easy to do well if you stay on track, and everything you learn is useful and applicable. Highly highly recommend!! "
9,5.0,3.0,0,0,"Dr. Buzinski is really amazing and caring professor. He is my favorite psychology professor in UNC. He is really funny and understanding. The work for PSYC260 is easy and the workload is acceptable. Exam is easy, you just need pay attention during his lectures and make some notes. I would definitely take his higher level psychology course again."
10,5.0,3.0,0,0,"Dr. Buzinski is an amazing teacher and a great person. If you have the chance, take any of his courses. PSYC260 had a lot of work but it wasn't really time consuming and most of it was easy. Seriously take this class if you're considering it "
11,5.0,3.0,0,0,I love Professor Buzinski! He is super nice and understanding with everything and is very quick with his emails. His class has a lot of work however it all helps with the course material and is not super time consuming. His lectures are always fun and not boring and they prepare you well for the exams.
12,5.0,4.0,0,0,I've had Buzinski for 2 courses (260 & 566) and he is hands-down my favorite professor at UNC. He is passionate about what he teaches and it translates into a great learning experience. I have learned the most from his classes and he makes every class fun and educational. Highly recommend!
13,5.0,3.0,0,0,Love Dr. B... I have now had him twice (260 & 566) and he is amazing. Take any class with him you can. He expects you to know your stuff when it comes to exam time but he prepares you well
14,5.0,3.0,0,0,"One of the best professors at UNC! Dr. B has engaging lectures and is always super reasonable and flexible. There is a decent amount of work that goes into the class though- a semester long project, weekly chapter readings, weekly before class material quizzes, after class quizzes. There are 3 tests which are average but the final isn't cumulative."
15,5.0,4.0,0,0,"Dr. B is super kind and understanding. He moved deadlines back for us a few times, and he likes to start class off with a funny YouTube clip every day. The class itself is a lot of work, and A is set at 94. It's not impossible to get an A, but you will have to put extra time into this class."
16,5.0,2.0,0,0,"Dr. B is the best professor I have ever had. He's funny, kind, and makes class interesting. PSYC260 does take some effort to do well, but if you just show up to class and take notes, you will do perfectly fine on exams. The class project can seem intimidating at first, but it becomes very easy. He also gives plenty of extra credit. I recommend him!"
17,5.0,3.0,0,0,"Hands down, Dr. B is the best professor I've had at UNC. He is so kind and understanding, and he made this class one of my favorites ever. There are weekly readings with questions, but all the info is on Quizlet. There's a group project and 3 total exams, but they aren't hard if you just watch the lectures (which are great btw)."
18,5.0,2.0,0,0,I love Buzinski!
19,4.0,4.0,1,0,"Dr. B is cool and kind, but his class was a lot of work (but interesting material). There was textbook reading, a 30 question quiz, a PPT lecture, an essay, and a 10 question timed quiz each week. He was willing to give extensions and accommodations if needed. Enjoyable class and a nice guy, but a lot of work!"
20,4.0,2.0,1,0,"Dr. B is a cool dude but I wouldn't take his class unless you're okay with writing a weekly essay and reading the textbook (which was free!). The essays were low-stakes and not graded harshly at all, though. Overall, however, Dr. B is very relatable, funny, and laid-back. Tests are based on lectures, and weekly quizzes are based on textbook."
1,2.0,3.0,0,0,"It's clear that Professor Cai cares about his students and is very knowledgeable about research. However, he has difficulty explaining the concepts in a way for students to understand. His lectures confused me more than I was. The textbook is more of a workbook and explains no concepts. Be ready to teach yourself. No clear rubrics for anything. "
2,3.0,3.0,1,0,"Professor Cai isn't the best lecturer but as long as you read the book and teach the majority of the information to yourself you will be fine. Grades consisted of weekly Homework and Labs, occasional quizzes, and three exams. Difficult questions unless you study. Not an impossible course, learn R as well. "
3,2.0,3.0,0,0,Stat was really hard and confusing. Nothing was that hard just confusing and weird. Prof Cai has a thick accent so if that is distracting for you I wouldn't recommend because lectures are so helpful in understanding the content. Midterm and final were hard. 
4,1.0,3.0,0,0,"Professor Cai is incredibly out of touch with his students. He lectures all class long (boring lectures) and does not interact with us, and then gives us exams that over half the class fails because they are way too long and test us on content most of us don't understand. Pretty sure he doesn't know any of our names. Not sure how I will pass..."
5,3.0,3.0,0,0,"Dr. Cai is a very sweet man and very interested in his field. However I expected this class to be more policy based- it is a straight demography class (migration, mortality, fertility based). Unless you are specifically interested in the topic I would avoid as it was very hard for me to get interested. He is accessible and was not hard to pass"
6,4.0,3.0,0,0,Professor Cai was very easy to get ahold of by email or in office hours if you need extra help. There was sometimes a communication gap but overall there werent many assignments and pretty easy to get a good grade as long as you put in a little effort.
7,2.0,3.0,0,0,He's very disorganized as a professor and it's difficult to follow along. Honestly didn't learn much and idk how I passed. His TA is very helpful tho
8,4.0,2.0,0,0,"This class is easy but lectures can be pretty boring. If you read the textbook your solid. There were ""pop quizzes"" that you can take unlimited times and he was very clear about what will be on the midterm. Not the most interesting topic but he's really into it and there's very little work to do for this class."
9,3.0,2.0,0,0,"He is a nice guy and the class is easy, but his lectures are incredibly boring, long, and scattered. He was not clear on grades and took a long time to grade/ wouldn't post scores and did not follow syllabus. Occasional pop quiz on reading. He will tell you what's on the test and it isn't challenging. Interesting topic that could be taught better."
10,1.0,4.0,0,0,"Honestly, I don't see how I'll make it through the semester. The class is so disorganized and the textbook being used is so vague and misleading. At this point, I'll be happy to pass the class just enough to get the credit for the major. The quizzes are no-sense and I feel like I'm learning nothing at all."
11,1.0,4.0,0,0,Hard to understand. Unclear and confusing in explanations. Makes things harder and more confusing than necessary.
12,4.0,3.0,0,0,The content of this class was pretty difficult but Professor Cai really cares about his students and want everyone to do well. Him and his TA were also both easily accessible outside of class. If you make sure you truly understand the homework assignments then you should be fine on the exams.
13,1.0,3.0,0,0,Every week there's an online quiz you have to take and you're supposed to use the textbook but there are unlimited attempts to the quiz and he said you could guess and keep re-doing it until you get a 100. Buying the textbook is a waste of money. For the tests just review the powerpoints and do the study guide. There's a final group paper
14,4.0,1.0,0,1,Professor Yong is very sweet but the class is just very uninteresting and his lectures tended to ramble. But the class was very easy since you could retake online quizzes unlimited times and he tended to tell you exactly what would be on the midterm and final. So most of the time you don't really need to pay much attention.
15,5.0,2.0,1,0,"Prof. Yong Cai's class was one the of the best at UNC. After readings some of the reviews about the thick accent I hesitated to take the course, but I'm so glad I eventually did. I had no issue understanding lectures. He's one of the sweetest persons at UNC, but also it's an EASY A if you are willing to show up to class and read the book."
16,5.0,2.0,0,0,"Professor Cai was the sweetest professor I've had at UNC. He has a thick accent, which makes it hard to follow his lectures, but have no fear: he posts his lecture powerpoints on Sakai & he lays out very clear study guides for both the midterm &final, if you study with the guides and his powerpoints- you can make an easy A. He's also super friendly"
17,1.0,1.0,0,0,"He's not a very good lecturer, which, combined with his very heavy accent, made it nearly impossible to follow along with the lectures. He told us EXACTLY what would be on the midterm, and the final wasn't bad. Easy to get an A if you're willing to put the work in, but don't take it because you think it may be interesting. He's nice & fair though."
18,2.0,1.0,0,0,Prof Cai is nice but isn't very supportive during class. Class  seemed to drag on even when the material was interesting. The homework isn't difficult but attention to detail is very important. The TA was more accessible than Cai. Overall the class wasn't too hard- just study the powerpoints (posted online) and the books readings.
19,2.0,2.0,2,0,"Professor Cai is really nice, but struggles with his English and explaining concepts. I got an A, but I felt confused 99% of the time."
20,2.5,3.0,0,0,Professor Cai is skilled when discussing or using data analysis software. What he could stand to improve from is articulating concepts and relating them back to the class example. There were lots of times someone asked a question and he would answer in a detailed and unspecific way you wouldn't remember what the original question was. Read the book
1,3.0,1.0,0,0,"Extremely passive aggressive professor, but overall a very easy class. I took SOCI100 and it was rather interesting, but the way he lectured was terribly boring. On-time submission will typically lead to an 100% on the assignment, except the final and midterm were significantly more difficult. Staying on top of reading the textbook definitely helps"
2,1.0,5.0,0,0,"Overall one of the worst professors I have experienced at UNC Chapel Hill. His lectures covered trivial topics that had no relevance whatsoever to the test material. Furthermore I can confidently say I left his class with a lower IQ than I entered thanks to his abstract ""Sociological"" Theories. 10/10 would recommend he gets let go!"
3,4.0,2.0,0,0,"Dr. Caren is great! The exams are the hardest part of the class, so definitely take the practice tests many times. However, there are a lot of other assignments to balance out exam grades. The final exam included questions from the midterms, so definitely go back and review those questions when the final comes along. Very knowledgeable guy. "
4,2.0,5.0,0,0,"Lectures are not helpful, just read the books. Hard to get good grades. The class has tons of assignments. However, the exams largely determined the grade (so even if you got 100 on every other assignment you might still mess the grades up) and it test literally everything. Never got exam scores higher than 85 and ends up with an A-."
5,3.0,2.0,0,0,"The lectures and readings for this class can be pretty long. The class consists of applications, case studies, film discussions, inquizitive, midterms, and the final. TA's are great and allow you to resubmit applications if necessary. You need to thoroughly study all of the vocabulary in the textbook. Take practice tests MULTIPLE TIMES. "
6,5.0,2.0,0,0,"Grading criteria is super clear. You can get a decent grade without putting in much effort. Lecture can be interesting and Neal is knowledgeable. The exams are likely the worst part of the class but even then, the reviews and Quizlet help with studying. Overall, not a bad course if you're looking for an interesting elective that isn't too rigorous."
7,5.0,2.0,1,0,"Neal Caren, I love you so much. Best professor I've ever had hands down. I took this for PH credit and had so much fun. Truly got to be me in this class and have never had a better time. Neal literally catered IP3 for our final... king. Easy A if you put in a little bit of effort and honestly such a rewarding class... gonna miss this class so much"
8,5.0,3.0,0,0,I was super nervous about Caren's 274 section because the teaching method was so unusual (you have to take on the perspective of historical figures) but I learned so much and this class was something I looked forward to. Dr. Caren is super chill and we had a pizza party during our final if that says anything. Take this class!!!
9,5.0,3.0,0,0,Dude is hilarious and clearly knows a lot about sociology. Assignments are fairly easy to complete and have very clear grading criteria. Has offered extra credit opportunities throughout the semester as well. Tests are pretty difficult so I recommend actually studying for a couple days in advance. Very helpful and has interesting classes as well. 
10,5.0,2.0,1,0,"Prof Caren is funny and his lectures always have something that make me laugh. Multiple extra credit opportunities. Know the key terms/do the practice exams before exams and you should do well. Not a hard class to succeed in if you put in some effort and understand the material, was never stressed about this class. "
11,5.0,3.0,1,0,"Super knowledgeable and great at facilitating a hands-off experience where students can truly immerse themselves in the simulation. Will help when you're stuck. A lot of reading is required to truly understand the material, and you have to put in a lot of effort, but it's worth it. Grading not bad. Class is different, but my favorite one I've taken"
12,4.0,3.0,0,0,"Assignments have clear grading criteria and are relatively easy although time consuming. Tests are pretty hard, definitely need to put a good amount of time into studying. "
13,5.0,2.0,0,0,"pretty easy as long as you do the work and study, many movie days and few papers and case studys but nothing too difficult"
14,5.0,2.0,0,0,"I really loved Professor Caren. He was engaging in class and had very clear expectations. His tests are not hard if you take the practice exams he posts a couple of times (there are infinite questions). The applications every week are not hard ... I don't think they are actually graded for content, got 100 on all of them. "
15,4.0,3.0,0,0,"Professor Caren is an AMAZING guy. His classes are fun, entertaining and thought provoking. However, the tests are disproportionately hard compared to his lectures, so be prepared to not do well on those versus other assignments. Overall, highly suggest his course."
16,2.0,4.0,0,0,He's a chill guy and a nice person but there's way too much work he makes you do for a stupid intro to sociology class. Every other teacher gives less work - he's so extra and for no reason. Would have never taken this class if I knew that he made you work like a donkey for even a B.
17,2.0,3.0,0,0,The lectures and readings for this class are so boring. There isn't enough engagement in class to keep you focused it's just him talking for 1 hour and 15 minutes straight. The applications also take you a long time and the due dates are too short for a project of that manner. Midterms are okay it's just memorizing like 100+ terms.
18,5.0,2.0,0,0,"SUCH a great professor. Super easy class if you just do the PRACTICE EXAMS MULTIPLE TIMES. Some of the exam answers are on Quizlet if you know where to look; hint use practice exam problems to search. Great and engaging professor. DON'T READ TEXTBOOK. Complete waste of time, j skim for answers and study vocabulary."
19,5.0,2.0,0,0,Prof Caren is an extremely nice professor. He chooses interesting documentaries to watch and is funny with the lectures. He is well respected by the class and there is no way you can get less than a B in this class unless you genuinely do not do anything. Love him!
20,5.0,2.0,1,0,"Professor Caren is a delightful professor. He's kind, funny, and does his best to keep students engaged during lecture. However, much of what is required to succeed in this course comes from the textbook, not the lectures. As long as you do the required readings, the class shouldn't be too difficult."
1,5.0,2.0,0,0,"Dr. Chanon is amazing! She's so sweet, and she tries her best to get to know everyone in the class.  Content was fun, and all assignments were chill.  She has a nice grading system; you can drop lowest midterm and 2 HWs.  HW was graded nicely.  The final was easier compared to midterms/LCs.  Make sure to study a bit. We got 1 point EC for final."
2,5.0,3.0,0,0,"I thought it was a tough class content-wise, especially compared to her PSYC 230 class. But, Dr. Chanon still has teaching down to a science and is an engaging lecturer. Her grading system is incredibly reasonable too, just make sure you really put in the work for the exams. The final is easy compared to them! "
3,5.0,3.0,0,0,Every lecture was incredibly engaging and she taught the material really well. They were also recorded and posted if you missed a day. Really fair tests too.
4,5.0,3.0,0,0,"She was such a caring professor and I rly want to take another class with her before I graduate! She learned everyone's names (and our class is over 100 people)!! It's a lot of material, but she makes it manageable for sure!"
5,5.0,2.0,0,0,"Dr. Chanon is my favorite professor so far at UNC. She cares so much about her students and responds to emails very quickly. Her grading system is very forgiving. Her exams are very straight forward. Plus, she practically does reviews every day. She also makes the lectures interesting by making what we learned relatable. Highly recommend!!! "
6,5.0,4.0,0,0,"Professor Chanon is one of the best professors ever. She learned all her ~100 students' names within the first few weeks of class. Her lectures are well-organized, engaging, and fun. Cognitive Psychology requires lots of memorization, but she makes it durable for her students. I have so many good things to say about her. Highly recommend!"
7,5.0,3.0,0,0,I loved this course! The content was interesting and Dr. Chanon is an amazing lecturer! She really wants all her students to succeed. She was more than fair with all assignments. The workload was manageable. I recommend this class to anybody. 
8,5.0,2.0,0,0,Dr. Chanon is one of the best professors at UNC. She is positive and encouraging toward her students and clearly wants to see everyone succeed. Her tests are pretty straightforward and the posted recorded lectures are great for studying. She was super understanding and flexible with attendance and assignment grading.
9,5.0,2.0,0,0,"Professor Chanon is really kind and caring. The material wasn't that bad, but she teaches it very well. There are 3 exams but 1 is dropped, and they are pretty easy. As long as you pay attention in class and do the assignments, you will get an A."
10,5.0,2.0,0,0,"Dr. Chanon is super sweet and she teaches the material very well. I felt like I actually learned a lot from her class. You have easy homework due every Friday, 3 exams (1 is dropped), and a few quizzes but you can use your notes. The material is a little hard, but she explains in very well. Tests are fair. "
11,5.0,3.0,0,0,"I loved Dr. Chanon! She's super passionate about neuroscience and she was always ready to answer our questions. The workload was very manageable and the tests were fair. She cares a lot about her students and consistently updates us about the class. Make sure to keep up with the content! Definitely take this class with Dr. Chanon, she's the best! "
12,5.0,3.0,0,0,One of the best at UNC! The way she set up her class was perfect. I feel like I genuinely learnt a lot from the class- the material stuck all semester. Content is cool and she gives great lectures. The 3 tests are kinda challenging but you drop one and the final is easy in comparison. You can miss up to 6 classes without penalty but should catch up
13,5.0,2.0,0,0,Professor Chanon is a great professor. Textbook was not required for the course and lectures covered all the material that we were tested on. Chanon made this course very stress free and her learning checks were great preparation for the final. She sets this class up for your success and it is easy to pass if you put in the effort!  
14,5.0,3.0,0,0,"Dr. Chanon is so incredible it makes me emotional. In a way, I literally felt like her office was a safe space for me because of how caring and helpful she was. She has kids which I think helps her have even more of a heart for college students & their well-being. Her lectures are amazing, the class is very organized, and she is so accessible! "
15,5.0,2.0,0,0,"Dr. Chanon is super sweet. The class was not super difficult so long as you study (especially for the learning checks!) The unique part of this class is the UX BeAM project, which while tedious at times was pretty cool to do. There is pretty regular homework, but you don't necessarily have to read the book. Be sure to study the learning goals! "
16,5.0,1.0,0,0,"She was great! It was online and asynchronous, but I still felt very engaged with the class. She also made the material super easy to understand. I have no complaints about her or this class!"
17,5.0,2.0,0,0,"Professor Chanon is funny and so relatable. She is also very caring. Her exams are easy and she accommodates her students well. I would without a doubt take more classes with her, she makes the content very interesting and has her students engage in a way that actually helps.The class content is hard at times but her exams are easy and minimal work"
18,5.0,2.0,0,0,"Dr. Chanon truly gives students all the guidance and materials we need to succeed in her class. Her class is well organized, you have decent cushioning for your grades, and most importantly, she's a great lecturer and is really good at breaking down concepts in easy to understand language."
19,5.0,3.0,0,0,I love Dr. Chanon so much I would give her my first born child. The material is not easy but she makes it so understandable and her exams are a direct reflection of what is taught. Amazing professor and incredibly helpful to anyone wanting to get into research. Take her for a class if you can!
20,5.0,3.0,0,0,"Dr. Chanon is an amazing professor. She gives you exactly what information you need to know for the exams. If you miss class, you can still get participation credit and lectures are posted online, so that was very accommodating. She genuinely wants you to learn and has everything structured very well. You will definitely get an A if you study well!"
1,2.0,4.0,0,0,"As someone who likes biopsychology and understands it, I didn't like this class at all. Professor Christoffel just read off his slides and his lectures were long and not engaging. Tests were cumulative and unnecessarily difficult which dragged my overall grade down. There is a group project which is easy to get full points on. "
2,5.0,3.0,0,1,"Tbh Dr. C isn't bad.  Sure, the first paper was a little rough, but just the rubric for the others, and you're fine.  Exams were not too awful if you study.  Take- home quizzes/scientist spotlights were grade buffers.  Also, you can always email him to talk about grade issues.  And he always let class out early. Overall, not a TERRIBLE class."
3,2.0,4.0,0,0,"Just don't. Lectures were so painfully boring and sometimes vague and exams were insanely precise. No feedback was given on assignments, you just got a grade for no reason. His exams were SO unorganized, even though they were online and automatically graded they were graded wrong. Do yourself a favor and take it with someone else."
4,2.0,5.0,0,0,He has been one of the worst professors I have had at UNC so far. You basically have to teach yourself the material and the exams are very detailed. He seems to not care about teaching at all and lectures right off of the slides. He doesn't give feedback on papers and the lectures are not engaging at all. Take PSYC 220 with anyone else!
5,1.0,5.0,0,0,Dr. Christoffel was the worst professor I have had so far. It was clear he did not care about his students or teaching in general. He graded extremely harshly with little to no guidance or explanation. Take with someone else!!!
6,2.0,5.0,0,0,"I really did not like Dr. Christoffel because he wasn't good at lecturing, tests were wildly hard, we always left class early (meaning it feels like we missed a lot of content that was still on tests). Group project is easy. There is no feedback on the 4 papers due throughout the semester (got a 76 on one with no explanation). I do not recommend"
7,2.0,4.0,0,0,"Do not recommend. Extremely boring lectures, difficult tests, and he clearly was just not prepared to teach this class. One time the highest exam score was an 89 and he did not curve at all. The group projects and pre-class quizzes did boost your grade, though."
8,3.0,3.0,0,0,"Content is pretty cool; class could have been a lot better if Dr. C was more enthusiastic & accessible. Quite obvious he didn't care much about us, he would answer questions in class but wasn't helpful beyond that. Beginning of class was a wreck as he didn't provide any insight on grading or studying criteria. Tests and lectures are overly detailed"
9,1.0,5.0,0,0,"Not a great professor. Nothing has clear grading standards, you can get a failing grade on a paper with literally no feedback. Exams are hard as hell (all of the test averages are in the 70s) and lectures are short without enough info. Do not recommend. "
10,1.0,5.0,0,0,"Dr. Christoffel's lectures were monotone and didn't really provide anything that you couldn't gain from the book. He tried to take attendance but his pollev's never worked, and while the quizzes were really easy the exams were very hard. We had to beg him to give us a rubric for papers, but at least he lets class out early. Take with someone else!"
11,1.0,3.0,0,0,"He can come off as condescending/rude. He lectures monotone the whole time, and he doesn't even try to keep students engaged. He grades papers harshly and doesn't give feedback. The questions on exams can seem random but aren't too bad if you study. You can get a good grade if you put in the effort, but I'd take this class with anyone else."
1,5.0,1.0,0,0,"Great professor! He was really engaging, encouraged good class discussions, and was open to all students' ideas. Poli 204 was pretty easy when I took it - he gave us study guides for the exams and you can probably get by without doing all of the reading. Class attendance matters, so if you skip you're grade will be impacted."
2,5.0,2.0,0,0,"Dr. Clark is one of my favorite professors at UNC. He is clearly extremely interested in politics and, will often go on tangents in class. A lot of his tangents are really entertaining, though, which make his lectures really easy to pay attention to, with him encouraging lots of participation. His lecture slides are easy to reproduce and useful."
3,5.0,3.0,0,0,"Take classes with Dr. Clark! He is clearly passionate about the topic and encourages class discussion, which is super interesting. As of fall 2022, there are a lot of readings in this class and your grade is based off of a few assignments, but it is manageable. Not sure if that'll be changed up in the future. Nonetheless, great class."
4,5.0,3.0,0,0,"Loved Dr. Clark! Lectures are interesting and engaging. Lots of class discussion. Only downsides are that he sometimes rambles and that the class is graded off 2 essays and 2 tests. However, you will learn a lot from the class and the classroom is very engaging and respectful. I would totally take him again!"
5,5.0,3.0,0,0,TAKE THIS CLASS!
6,5.0,3.0,0,0,"Your grade consists of a midterm, 2 papers, a group presentation, and participation. Prof. Clark is a fair grader for all of those assignments, and is always clear with his expectations. He's clearly invested in what he teaches, which always makes his lectures interesting to listen to. Take this FYS if you have the chance!"
7,5.0,3.0,0,0,"Dr. Clark is definitely one of my favorite professors at UNC. He is very passionate about what he teaches and encourages students to participate. His class consisted of readings, 2 papers, a midterm and a final group project. If you are interested in learning about the topics he teaches I would definitely recommend taking a class from him. "
8,5.0,1.0,0,0,Professor Clark has been my favorite professor so far at UNC. His lectures are engaging and he clearly cares about what he teaches. If you are passionate about the topic of the class then you will surely enjoy taking his classes. He goes out of his way to create an inclusive class environment for all students.
9,5.0,2.0,0,0,I would 100% take Dr. Clark again. He was able to distill difficult information to us in manageable terms. His tests were not too difficult if you watched the lectures. You do not need to read the textbook to get a good grade either.
10,5.0,3.0,0,0,"This was my second class with him, and I loved it! I learned a lot of useful information about Southern politics, and you can tell he loves what he does. He is an engaging lecturer, gives good feedback on papers, and his exams are straightforward. Definitely take him if you have the chance."
11,4.0,2.0,0,0,"Super awesome guy and extremely knowledgeable, but he was slow to grade and we never got lectures on time, which was stressful for the COVID semester. Still a king tho and I would definitely recommend if the class is in person"
12,4.0,3.0,0,0,"Dr. Clark is kind and cares about what he teaches, but this class was not enjoyable online. Class was asynchronous, and he sent out lectures SEVERAL days after the day we should have had them. The 2 papers were difficult but the midterm and final were easy! This class was not a lot of work, but I'm not sure if I'd take a class with him again."
